,Cor,Bias,MAE,MSE,RMSE
z,0.9078062512570438,-0.10553460725151323,0.3198813151339236,0.16836781935712083,0.41032647898608837
a,-0.2090100534604821,0.17020905831549366,0.7866313552596793,0.9067605042570612,0.9522397304550263
b,0.32101062024822075,0.1234349134564983,0.981763982635406,1.3132735219368235,1.1459814666637604
z,0.9116885455825623,-0.0750699285467746,0.31281122047120785,0.15341457123941696,0.39168172186025857
a,-0.2466290084910468,-0.07576351991202632,0.6108020377578185,0.5669854074150954,0.7529843341100102
b,0.8227898293645788,-0.07946807091428962,0.42207519969496227,0.30234773059568204,0.5498615558444526
z,0.9168949752398352,-0.05587142833076737,0.30188528595926617,0.1517203811197612,0.3895130050714112
a,0.04148124603814128,0.15807249596063097,0.708871348211509,0.7394771345678399,0.8599285636422597
b,0.4765046860869001,-0.24956574459864822,1.1152073086782424,2.2687671248808163,1.5062427177851572
z,0.9171458985678818,-0.059125717957842584,0.29983628236513044,0.14472081751539057,0.3804218941062548
a,-0.32436847187250406,-0.12267666787809334,0.6111924477255736,0.5747004125837434,0.7580899765751711
b,0.6453402893971775,0.03626163880036148,0.6443413932775228,0.5745378509581104,0.7579827510953732
