,Cor,Bias,MAE,MSE,RMSE
z,0.8858243764461359,-0.045609449163954804,0.3837658554310615,0.21687863132047752,0.46570229902855054
a,0.836191292338044,-0.11548339307533093,0.2929792446978287,0.18169145396258546,0.4262528052254735
b,0.8187035422858496,-0.04096834013786516,0.37817589688968406,0.31967990707055827,0.5654024293108036
p,0.8941949638300606,-0.00025448178794474784,0.08594217111582093,0.01447696080330195,0.12032024269964697
z,0.8923525516359602,-0.029224419237058704,0.36800633644988706,0.1966052910801235,0.44340195204816535
a,0.8742982607855446,-0.12904100088006643,0.2334706819257906,0.10248875944067005,0.3201386565859707
b,0.932151613342758,-0.10139133296834034,0.2955649252718153,0.14044033987337196,0.3747537056165982
p,0.9132364197307342,0.011115255704774297,0.08041057232060651,0.012227979877540056,0.11058019658844913
z,0.8970334228906268,-0.016900403515379973,0.35994294913501806,0.2009582181951549,0.44828363587705816
a,0.8919083340399566,-0.04846262513263908,0.28762561350428784,0.13560574829445687,0.36824685782020855
b,0.3580181541925784,0.285759764413768,0.7084235114466627,1.8491951310086314,1.3598511429596372
p,0.8864907392068889,0.000523409746862724,0.08953586651879171,0.015523615024677738,0.12459380010529311
z,0.8872184853807514,-0.03139297963766391,0.38037346569352903,0.2118692936376919,0.4602926174051588
a,0.8693326719773056,-0.12782374886399892,0.24167591209791203,0.09644821466790945,0.3105611287136712
b,0.9306675322551656,-0.14640081946975592,0.30306763088088573,0.15309218822229992,0.39126996846461387
p,0.9117325987555301,0.0131339636455949,0.08272596117995573,0.012617074651613618,0.1123257523972736
