,Cor,Bias,MAE,MSE,RMSE
z,0.9605893958048747,0.010729530862205926,0.21572144725269,0.07616718848817078,0.27598403665460575
a,0.93273329496777,0.010071820163831735,0.14530419295350325,0.03204896851140494,0.17902225702801577
b,0.976900654070103,-0.035126925203560526,0.12061279407446042,0.02937025934101013,0.17137753452833346
p,0.9691034741233977,0.0030131807195493696,0.04980097372082605,0.004497857174610481,0.06706606574572926
z,0.9596766806368761,0.09617628412567943,0.23470731528437164,0.08989127787632989,0.2998187417029327
a,0.9325771148896813,0.027586020672426253,0.14163737310885402,0.03313361056499721,0.18202640073625917
b,0.9791673874936914,0.04014970842205672,0.12061643745551819,0.027020953091580698,0.1643805131138746
p,0.9707131586387947,0.0078123742730284475,0.04808911268158022,0.004319910609897688,0.06572602688355418
z,0.9639226431430566,0.019447870305412715,0.21365949559328476,0.07438856245330737,0.27274266709355793
a,0.9357262789013494,-0.001513164098952587,0.140078369588605,0.030757456429557014,0.17537803861817194
b,0.9766204435451151,0.11154393077595223,0.1612296973073328,0.04092804004098139,0.2023067968234913
p,0.971043317282008,-0.021072753870393545,0.05124744343869723,0.004740088402218982,0.06884829992250341
z,0.9606221061466703,0.06511128239952893,0.21628593544434538,0.0808482024698786,0.2843381832780793
a,0.9509879282197878,-0.058395966247612605,0.14525617857427972,0.027906378455153927,0.16705202319982218
b,0.9749996490407843,0.06976475723786343,0.141571917906811,0.035452358082705394,0.188287965846746
p,0.9702462768242335,-0.006687714304215672,0.050409145245381155,0.004599927039412982,0.06782276195653626
