,Cor,Bias,MAE,MSE,RMSE
z,0.947452448166287,0.013844440137466704,0.23491778604429048,0.08293920323147194,0.28799167215645655
a,-0.06831495221861507,0.5195651940210056,0.7547566870389311,0.8333685967526115,0.9128902435411452
b,0.330655091093646,0.2299603822641424,0.8360482376500199,1.2398392112949963,1.113480673965649
z,0.9549980084389544,0.0888501967540591,0.22504557245334042,0.08189581604490734,0.2861744503705866
a,0.8144069544383861,-0.0076290551122633905,0.28479519576444795,0.11292745551090028,0.3360468055359257
b,0.8385753620268166,0.3207687146806818,0.42473450332442136,0.4877247281606893,0.6983729148246582
z,0.955243170077389,0.028440803443512238,0.21979745794747504,0.07585243638071779,0.2754132102509206
a,0.08911560595873494,0.6927221463822714,0.7733038907392669,0.8319130311298483,0.9120926658678099
b,0.6005120818301722,0.6615625592725081,0.7240328410935457,1.1723780996174753,1.082764101555586
z,0.9505212541348179,0.07312496677549771,0.23464202704080037,0.08373896325275415,0.28937685334655594
a,0.7775964686388032,-0.1270693106747278,0.3301917756130558,0.15520712921244814,0.3939633602410866
b,0.7003796428525262,0.479649471041471,0.5434230722022979,0.8285941532393803,0.9102714722759251
