,Cor,Bias,MAE,MSE,RMSE
z,0.9305365966038339,-0.03640382937627454,0.29645778439556136,0.14150625687935522,0.3761731740559861
a,0.2983536414345239,0.358060172224125,0.536947366573873,0.45964971385744435,0.6779747147626114
b,0.7295020465382546,0.036178532323416016,0.5005931725004524,0.3470268007739711,0.5890898070531955
