,Cor,Bias,MAE,MSE,RMSE
z,0.9639226431430566,0.019447870305412715,0.21365949559328476,0.07438856245330737,0.27274266709355793
a,0.9357262789013494,-0.001513164098952587,0.140078369588605,0.030757456429557014,0.17537803861817194
b,0.9766204435451151,0.11154393077595223,0.1612296973073328,0.04092804004098139,0.2023067968234913
p,0.971043317282008,-0.021072753870393545,0.05124744343869723,0.004740088402218982,0.06884829992250341
