,Cor,Bias,MAE,MSE,RMSE
z,0.8943119933439967,0.11865460896902666,0.3697478689631594,0.22141346875707385,0.4705459262995206
a,-0.14477687607577006,0.44036192779110556,0.6690510483937074,0.7544111371198579,0.8685684412410215
b,0.4813751454108411,0.2769269043388573,0.870070231433093,1.3472818118719943,1.1607246925399641
z,0.8865081068954986,0.10426237957590208,0.38155733475770837,0.22332109010915474,0.4725686088909786
a,0.34571151974823694,-0.18646986618025416,0.45691309338259617,0.2852507040267744,0.5340886668211322
b,0.8803004485103647,0.23430437896972967,0.38992046313577344,0.2941539631733376,0.5423596253163925
z,0.8927133070228914,0.09199991488867391,0.3711299112869042,0.21502799704180175,0.46371111377861296
a,-0.056863086780592334,0.004606120070980868,0.622133017079721,0.5493475320950595,0.7411798243982761
b,0.5934333667006308,0.1905534071656671,0.7016625480452184,0.8171103021531124,0.9039415369110507
z,0.8864680658577937,0.13697364235334977,0.39547956011688334,0.23761929434256374,0.48746209528799644
a,0.039291040323536544,-0.36310658787074995,0.5553401938011543,0.4524237204496677,0.6726245018207914
b,0.8070066097767393,0.4002433365019766,0.5225768408500431,0.5716165797407858,0.7560532916010523
