,Cor,Bias,MAE,MSE,RMSE
z,0.8951794497406625,0.054668059481666545,0.35716726042507924,0.20490055603234106,0.4526594260946535
a,0.9494038294192698,-0.0798943816216693,0.1714465182053802,0.05450456906907962,0.23346213626427653
b,0.9910122041146171,0.12011121772043541,0.14551426432689094,0.035707273242087896,0.1889636823362836
p,0.9434515867246063,-0.0064948818540656195,0.062475066220051084,0.007955205646917585,0.08919195954186446
z,0.8895924051747869,0.031894203795478804,0.3572255936496756,0.20628990696387936,0.45419148711075524
a,0.929829537215603,-0.02305210367758132,0.15354053601462786,0.054623035243105224,0.2337157145831346
b,0.9910813884092924,0.10755759986552234,0.14495997778905628,0.03276749257862422,0.18101793441155
p,0.9408242282275218,-0.0053584693492252835,0.06235722258760081,0.007908589962184078,0.08893025335724665
z,0.8940904505798715,0.03798399199394987,0.35455610550649747,0.20285696966531772,0.450396458317911
a,0.9436699027145518,-0.08319757740615862,0.18768331651702924,0.060359968626544934,0.24568265837568784
b,0.9885385295314948,0.1650753829609616,0.19074872173031235,0.05339599940372266,0.23107574386707633
p,0.9419659632189635,-0.017287568137768442,0.06478979762323485,0.008384168092557669,0.09156510302816062
z,0.8928050726752094,0.07603880084900663,0.35915459194172095,0.20798118616010708,0.45604954353678184
a,0.9470151550365307,-0.1504680756322449,0.19495604743963899,0.0713669096012915,0.26714585828960835
b,0.9879693648551899,0.1069402323396269,0.1521174094855999,0.03823359960898297,0.19553413924167556
p,0.9415190334213708,4.3294460695965855e-05,0.06540648308962922,0.008572765985012287,0.09258923255439742
