,Cor,Bias,MAE,MSE,RMSE
z,0.9395588545835349,-0.25342275898343214,0.3691899533831841,0.1882085328577824,0.43383007371294857
a,0.16949133562066088,0.16189212748467913,0.5887390225063464,0.5086725727952992,0.7132128523766935
b,0.6172429447644033,0.22266776606082345,0.7721395105683668,1.0120768132475655,1.0060202847097892
z,0.9407726612451243,-0.22947904686814438,0.34989747132901655,0.1739736349895091,0.41710146845762736
a,0.6647619692818396,0.010026037093847879,0.3334606595831595,0.15768047593164763,0.3970900098613004
b,0.8721174426351025,-0.08629327347239425,0.39055442976041077,0.26835580492748196,0.5180306988272818
z,0.9371778678460227,-0.2669884745348085,0.3874244037779364,0.19890910645203452,0.4459922717402562
a,0.14876927394227202,-0.00018794112220413457,0.8203271239429052,1.0438933435947235,1.0217109882910742
b,0.6727933975685002,-0.10076003589094255,0.668134587438361,0.9288091664074158,0.9637474598707982
z,0.9435079657035202,-0.19542857568150648,0.32980805164921834,0.14990362971474588,0.3871739011280924
a,0.6669631956872547,0.0335645312039553,0.33471676455586014,0.16195613386516727,0.4024377391164592
b,0.8178996420686752,0.03778035337368081,0.47100805645642363,0.36055015269705387,0.6004582855594999
