,Cor,Bias,MAE,MSE,RMSE
z,0.9635217711263352,-0.143866358122411,0.27503700159300865,0.11336761462377726,0.3367010760656658
a,0.8442022915152233,0.11310037790969174,0.23276292528692558,0.0899755465831136,0.29995924153643544
b,0.770433973237979,-0.014150384517463777,0.4424299182797569,0.5345995703998391,0.7311631626387088
p,0.9495934447586359,-0.002784595034996383,0.05993257495073965,0.006652320539895674,0.08156175905346619
z,0.9629215275993458,-0.11694776149708294,0.26007671449113834,0.10417971414202257,0.3227688246129458
a,0.8451284828247756,0.08003883003739179,0.2218958357742444,0.07915870889212626,0.28135157524372645
b,0.907701311928908,-0.15214330797588102,0.3138134152268687,0.18863076150167477,0.43431643015395444
p,0.9542596540603933,0.004515205263335544,0.059009048539044,0.0060618077107652485,0.07785761177152334
z,0.9612381894210562,-0.16361206801849867,0.2775184523791129,0.11794228504109716,0.3434272631010782
a,0.8324600605770737,0.10988836644388895,0.23247889332293328,0.09494860046768604,0.3081373078153407
b,0.8295158543181644,-0.1301999829232223,0.4278811804549539,0.4660404558732677,0.6826715578323648
p,0.9542236255886314,-0.002022132318175113,0.058448198406489536,0.005987907212575665,0.07738156894620105
z,0.9635636012591675,-0.11288430007416272,0.23366961901597347,0.0826170520869182,0.2874318216323972
a,0.8128267839231139,0.08755788041450244,0.23417003316609858,0.0947232329826195,0.3077713972782713
b,0.9007182188898426,-0.1314846430738297,0.31535065630124676,0.1842474999961033,0.42924060851240914
p,0.9517982833617542,0.006115298812569403,0.05912278967700157,0.006123661183260275,0.07825382535863838
