,Cor,Bias,MAE,MSE,RMSE
z,0.9709486872405241,-0.04503046446870959,0.1924961409205674,0.057937929501548135,0.24070299022145142
a,0.8497802670083419,0.0743251356235438,0.25100922047512897,0.09034034088763007,0.3005666995653878
b,0.9065619278297204,-0.08983412030916206,0.25317336877265806,0.1377307481126137,0.37112093461918005
p,0.9547434508788748,0.006333723938531609,0.05952681875082753,0.006311824417080819,0.0794469912399508
