,Cor,Bias,MAE,MSE,RMSE
z,0.9635217711263352,-0.143866358122411,0.27503700159300865,0.11336761462377726,0.3367010760656658
a,0.8442022915152233,0.11310037790969174,0.23276292528692558,0.0899755465831136,0.29995924153643544
b,0.770433973237979,-0.014150384517463777,0.4424299182797569,0.5345995703998391,0.7311631626387088
p,0.9495934447586359,-0.002784595034996383,0.05993257495073965,0.006652320539895674,0.08156175905346619
