,Cor,Bias,MAE,MSE,RMSE
z,0.9760868147040682,-0.0835068222735392,0.21154075825636554,0.07291321637921518,0.2700244736671385
a,-0.25650480078963117,0.27382300154432204,0.7366238682141308,0.6502043285953379,0.8063524840882789
b,0.30648600722746827,0.5228073423766784,0.9039832646107464,1.449824220735617,1.2040864673002587
z,0.9761334250939554,-0.053546795532511376,0.20541024813304637,0.06478390319393082,0.25452682215030076
a,0.7525044047585585,-0.1757952386531776,0.3270778051764607,0.15240351573981645,0.39038892881307025
b,0.9419075952647893,0.09796921490144649,0.279789024029357,0.13780687834403768,0.37122348840562025
z,0.9760165485312691,-0.035231768772410056,0.20215635709478808,0.06272744630336144,0.2504544795034847
a,0.3119367151023969,0.3602956210865532,0.5285902474931996,0.39364050261660904,0.6274077642304158
b,0.8392123495525459,0.38586515738081845,0.4736902308749062,0.47235005750960873,0.6872772784761684
z,0.9753657458903736,0.021288603856755593,0.2009711301324526,0.06236763542145693,0.2497351305312429
a,0.7882110468623836,-0.32987248841857364,0.4211082648496721,0.24455101681623617,0.49452099734615534
b,0.9267593316428531,0.32565280599903973,0.371657100276552,0.2665250890905131,0.5162606793960907
