,Cor,Bias,MAE,MSE,RMSE
z,0.9723355628673591,-0.03979127635957522,0.19674324458534545,0.06129607899371575,0.2475804495385606
a,0.9237164941606331,0.027869946507294498,0.17335041688450717,0.042976009524553285,0.20730655928974676
b,0.9826496887225842,0.048946272444526234,0.13955752301076418,0.033587430798024884,0.18326873928203055
p,0.9740317901360654,-0.019429305797275392,0.04940516036906805,0.004489547856906389,0.06700408835963959
z,0.9705630750116284,-0.019331329131143514,0.19546996512618858,0.059374046233978815,0.24366790152578327
a,0.9716343500415684,6.479446856133183e-05,0.09477078441185698,0.014940673361710233,0.12223204719593889
b,0.9891440309019928,-0.08699162530264933,0.11809716418018922,0.02713959504402313,0.16474099381763826
p,0.98129359340972,0.01130065087591086,0.040497448161651184,0.0031410166843388594,0.05604477392530779
z,0.9724471431193398,0.009623241758329449,0.18551504246089603,0.05442092940907128,0.23328293852974177
a,0.9632911909598724,0.06175951750511547,0.11453862173079633,0.022779925582493442,0.15093020102846694
b,0.9836828762507859,0.06140861612364638,0.15138760040382165,0.03423100298085009,0.1850162235612058
p,0.9803400828141435,-0.009805462412823577,0.04173074220383596,0.003173404007385866,0.05633297442338604
z,0.9726115456077432,0.06395125267503936,0.18978166921011944,0.05803710231566097,0.24090890875113144
a,0.9767445689874706,-0.007850729179700693,0.08431552246561655,0.012597407891500973,0.11223817484038563
b,0.9862698533729078,0.026466961538551464,0.11634591426369488,0.025703876627093333,0.16032428583060437
p,0.9830563348341589,0.00327113714183317,0.03794447866060322,0.0027936221744071397,0.05285472707721742
