,Cor,Bias,MAE,MSE,RMSE
z,0.9627802425246819,0.02077803780875005,0.21727587445204832,0.07385666429408261,0.2717658262072011
a,0.9164747110196224,-0.07437438675906316,0.19123684177109915,0.053286387128272605,0.23083844378324986
b,0.9844589617850762,-0.18596675949046695,0.2319095073883716,0.08904737192407788,0.29840806276653764
p,0.9647025941036402,0.037411680211555325,0.06029522997299773,0.007055200987640029,0.0839952438393986
z,0.9617135995354855,0.04644968660912313,0.23454221478864473,0.08544989403382597,0.2923181383934736
a,0.9557688327833953,-0.03573433517561409,0.09976371481583785,0.024291881286442545,0.15585852971987946
b,0.990419480912861,0.10221429287425247,0.1373321565671549,0.03303663288606658,0.18175982197962942
p,0.9766958771578653,-0.006205009343699174,0.0443480057934667,0.0038948510928518624,0.06240874211880786
z,0.9628359054219989,-0.007885704375888924,0.21125646523009248,0.07079476213393687,0.2660728511778999
a,0.881261255217704,-0.050100624465903174,0.25273654609152424,0.08381839804901908,0.28951407228150255
b,0.9819444711673119,0.06168467725596398,0.14217505531504654,0.046577572564510415,0.21581837865323336
p,0.9658142764375578,-0.010128007208700517,0.05612569726651951,0.005589274075457903,0.07476144778866915
z,0.9611903301017323,0.10239877822241583,0.23522619081806562,0.0871381535416029,0.29519172336229704
a,0.9623228346767018,-0.06449239685283158,0.10442600796929392,0.021517090028589873,0.14668704792376822
b,0.9857582477466926,0.0402529039137718,0.12598184314558078,0.0370372686413261,0.19245069145452842
p,0.977099447084559,0.013628215699434409,0.04493275103934695,0.003998594913562514,0.06323444404406917
