,Cor,Bias,MAE,MSE,RMSE
z,0.957457509093359,0.04278901725911277,0.23133807875528453,0.09269826472135127,0.30446389723799977
a,0.14530411313527436,0.505570971797902,0.6919042801983311,0.6609492759174705,0.8129878694774422
b,0.8992289809448538,0.22745093567718178,0.25881621732125754,0.13417247067429133,0.36629560558965396
