,Cor,Bias,MAE,MSE,RMSE
z,0.9687842887254651,-0.004429916453820841,0.18817146166169188,0.05385320499754513,0.2320629332692861
a,0.04710631334433529,0.36104945598735283,0.6731123892787817,0.777238409296395,0.8816112574691836
b,0.6794931602332646,0.0651283223887426,0.6920156163596156,0.7431434285387575,0.8620576712371147
z,0.9711403542082429,0.06561753361179194,0.18072651432985168,0.0519749648807359,0.22798018528094915
a,0.8681226324067391,-0.04994639758076407,0.23044108564320673,0.08886518662378652,0.29810264444279344
b,0.8519039478949506,-0.12968650341429885,0.42373968797179185,0.39347318030633105,0.62727440590728
z,0.9706664891774898,0.08009587733699641,0.18620184779335813,0.05472479754423557,0.23393331858509503
a,-0.13225947255195966,0.37893101916903127,0.7046612384781169,0.7848710932097426,0.8859295080364704
b,0.5521657175796718,-0.12612719719694135,0.6685121691338229,0.84096852865649,0.9170433624733838
z,0.9700685057494133,0.08708188621951901,0.19101564227181075,0.05755412105558912,0.2399043998254078
a,0.8761408591857338,-0.07875541651056346,0.2294986072823067,0.08581190265143739,0.29293668710394977
b,0.8479132809749023,-0.04663357212293722,0.4277635469517322,0.37952756944871724,0.6160580893460593
