,Cor,Bias,MAE,MSE,RMSE
z,0.9289828746811813,-0.017043787757927368,0.29554409891946687,0.1476064409289039,0.38419583668866575
a,0.14156487320512762,0.3263337280219602,0.5951085362389755,0.5371340522320946,0.7328942981304294
b,0.1586399610767325,0.2772763841971019,0.8842717701186035,1.3988335809090071,1.1827229518822264
z,0.9251191974105143,0.015357403238242674,0.310147503518706,0.1514161715756181,0.3891223092751405
a,0.8690095633376205,-0.29754561034432975,0.3961990148851177,0.20534046966270852,0.45314508676880577
b,0.9234848006874526,0.1186608481716871,0.3200116419689637,0.15642865839161235,0.39551062993504027
z,0.9305365966038339,-0.03640382937627454,0.29645778439556136,0.14150625687935522,0.3761731740559861
a,0.2983536414345239,0.358060172224125,0.536947366573873,0.45964971385744435,0.6779747147626114
b,0.7295020465382546,0.036178532323416016,0.5005931725004524,0.3470268007739711,0.5890898070531955
z,0.9299178757129631,0.04060596652788501,0.2983003912793824,0.14302702095544018,0.3781891338410454
a,0.7921351537481438,-0.37631202387404367,0.4901397495552896,0.34192735798436436,0.5847455497773064
b,0.8291383037877271,0.4067278006920475,0.4969139337416399,0.40306710182307215,0.6348756585529738
