,Cor,Bias,MAE,MSE,RMSE
z,0.9382636005707385,0.03095717347727929,0.282896170445095,0.127829723430525,0.3575328284654781
a,0.9307453950402627,-0.08389946348447405,0.1826791927698024,0.047123954163787014,0.2170805246073148
b,0.9724146298338899,0.12451368121228784,0.19414650919354495,0.10943272537572395,0.33080617493590403
p,0.95733255434486,-0.007423665675939471,0.06469828244446779,0.007960150655641044,0.08921967639282853
z,0.9334047263546371,0.059985795270072556,0.291574711653199,0.13501682766664266,0.36744636025771527
a,0.9426911045799806,-0.09798106478630307,0.15147383203022038,0.04556134374433637,0.21345103359866022
b,0.9845869522864343,0.11254730293946634,0.16267333199662742,0.06858207637198227,0.26188179847401055
p,0.9606705195621478,-0.006682129102087214,0.05887330068333617,0.007183816058233378,0.08475739530113804
z,0.9385351849016138,0.01250225580798303,0.27744777590258607,0.12197311656918802,0.34924649829194854
a,0.9515012006862663,-0.023117991059807986,0.13364547385155465,0.02860924106140123,0.16914266481701543
b,0.9814194376918837,0.048357496855628186,0.16169539905474453,0.09555931273987407,0.3091266936708541
p,0.9592970037699202,-0.002710618747648029,0.05878655177265661,0.006973390913836236,0.08350683153991796
z,0.9360179061160525,0.10008874894248161,0.28946536393858135,0.1356276702095219,0.3682766218612334
a,0.9549758368441944,-0.08138819413362744,0.13295482289516244,0.032848962450136625,0.18124282730672855
b,0.9790416229954629,0.1892280237853246,0.24601781563155328,0.10882609381855636,0.3298880019318016
p,0.960977028904598,-0.017732188501078505,0.05864472032702592,0.00728089705648184,0.08532817270094233
